UNDERLYING                          ,SYMBOL    ,AUG-26     ,SEP-26     ,OCT-26     ,DEC-26     ,MAR-27     ,JUN-27     ,DEC-27     ,JUN-28     ,DEC-28     ,JUN-29     ,DEC-29     ,JUN-30     ,DEC-30     ,JUN-31     
L&T FINANCE LIMITED                 ,LTF       ,2250       ,2250       ,2250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MANKIND PHARMA LIMITED              ,MANKIND   ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON ,6150       ,6150       ,6150       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MOTILAL OSWAL FIN LTD               ,MOTILALOFS,775        ,775        ,775        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MPHASIS LIMITED                     ,MPHASIS   ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIPPON L I A M LTD                  ,NAM-INDIA ,625        ,625        ,625        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,1875       ,1875       ,1875       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NBCC (INDIA) LIMITED                ,NBCC      ,6500       ,6500       ,6500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN ZINC LIMITED              ,HINDZINC  ,1225       ,1225       ,1225       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FSN E COMMERCE VENTURES             ,NYKAA     ,3125       ,3125       ,3125       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ORACLE FIN SERV SOFT LTD.           ,OFSS      ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL INDIA LTD                       ,OIL       ,1400       ,1400       ,1400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ITC LTD                             ,ITC       ,1725       ,1725       ,1725       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL AND NATURAL GAS CORP.           ,ONGC      ,2250       ,2250       ,2250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VODAFONE IDEA LIMITED               ,IDEA      ,71475      ,71475      ,71475      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
